school_id,year,short_name,school_type,primary_category,address,city,state,zip,phone,website,progress_report_year,student_growth_rating,student_attainment_rating,growth_reading_grades_tested_pct_es,growth_math_grades_tested_pct_es,attainment_reading_pct_es,attainment_math_pct_es,culture_climate_rating,school_survey_involved_families,school_survey_supportive_environment,school_survey_ambitious_instruction,school_survey_effective_leaders,school_survey_collaborative_teachers,school_survey_safety,suspensions_per_100_students_avg_pct,student_attendance_avg_pct,mobility_rate_pct,one_year_dropout_rate_year_1_pct,freshmen_on_track_school_pct_year_1,college_enrollment_school_pct_year_1,college_persistence_school_pct_year_2,teacher_attendance_avg_pct,school_latitude,school_longitude
400009,2015-16,GLOBAL CITIZENSHIP,Charter,ES,4647 W 47TH ST,Chicago,Illinois,60632,7735821100, ,2015,ABOVE AVERAGE,AVERAGE,80,60,57,44,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,3.8,95.1,4.3,7.9,NULL,NULL,NULL,NULL,41.807579,-87.740097
400009,2016-17,GLOBAL CITIZENSHIP,Charter,ES,4647 W 47TH ST,Chicago,Illinois,60632,7735821100,http://www.agcchicago.org,2016,AVERAGE,AVERAGE,46,50,49,42,ORGANIZED,VERY STRONG,WEAK,WEAK,STRONG,STRONG,NEUTRAL,8.1,93.4,4.3,NULL,NULL,NULL,NULL,NULL,41.807579,-87.740097
400009,2017-18,GLOBAL CITIZENSHIP,Charter,ES, , , , ,7735821100,http://www.agcchicago.org,2017,FAR ABOVE AVERAGE,AVERAGE,94,76,62,48,WELL ORGANIZED,VERY STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,STRONG,5.8,92.8,5.5,NULL,NULL,NULL,NULL,NULL, , 
400009,2018-19,GLOBAL CITIZENSHIP,Charter,ES,4647 W 47TH ST,Chicago,Illinois,60632,7735821100,https://agcchicago.org,2018,AVERAGE,AVERAGE,75,39,65,45,WELL ORGANIZED,VERY STRONG,NEUTRAL,VERY STRONG,STRONG,VERY STRONG,STRONG,NULL,93.3,3.4,NULL,NULL,NULL,NULL,NULL,41.807579,-87.740097
400010,2015-16,ACE TECH HS,Charter,HS,5410 S STATE ST,Chicago,Illinois,60609,7735488705, ,2015,BELOW AVERAGE,FAR BELOW AVERAGE,NULL,NULL,NULL,NULL,PARTIALLY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,WEAK,VERY WEAK,20.8,88.8,27.3,7.9,NULL,51.9,61.8,NULL,41.796122,-87.625849
400010,2016-17,ACE TECH HS,Charter,HS,5410 S STATE ST,Chicago,Illinois,60609,7735488705,http://www.acetechnical.org,2016,BELOW AVERAGE,BELOW AVERAGE,NULL,NULL,NULL,NULL,WELL ORGANIZED,VERY STRONG,NEUTRAL,VERY STRONG,STRONG,VERY STRONG,VERY WEAK,8.1,93.4,27.3,1.4,54.2,49.4,63.2,NULL,41.796122,-87.625849
400011,2015-16,LOCKE A,Charter,ES,3141 W JACKSON BLVD,Chicago,Illinois,60612,7732657232, ,2015,AVERAGE,ABOVE AVERAGE,43,60,80,84,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,3.8,95.1,4.7,7.9,NULL,NULL,NULL,NULL,41.877248,-87.705235
400011,2016-17,LOCKE A,Charter,ES,3141 W JACKSON BLVD,Chicago,Illinois,60612,7732657232,http://www.alainlocke.org,2016,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,8.1,93.4,4.7,NULL,NULL,NULL,NULL,NULL,41.877248,-87.705235
400011,2017-18,LOCKE A,Charter,ES, , , , ,7732657232,http://www.alainlocke.org,2017,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,5.8,92.8,7.7,NULL,NULL,NULL,NULL,NULL, , 
400011,2018-19,LOCKE A,Charter,ES,3141 W JACKSON BLVD,Chicago,Illinois,60612,7732657232,https://www.alainlocke.org,2018,BELOW AVERAGE,AVERAGE,19,35,67,56,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NULL,93.3,2.7,NULL,NULL,NULL,NULL,NULL,41.877248,-87.705235
